Economy,Year,Economy Code,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
Afghanistan,2022,AFG,3.984
Albania,2022,ALB,19.835
Algeria,2019,DZA,11.436
American Samoa,2023,ASM,
Andorra,2022,AND,25.040
Angola,2021,AGO,0.126
Antigua and Barbuda,2021,ATG,11.894
Argentina,2023,ARG,
Armenia,2022,ARM,28.291
Aruba,2023,ABW,
Australia,2023,AUS,35.765
Austria,2021,AUT,16.605
Azerbaijan,2023,AZE,17.670
"Bahamas, The",2023,BHS,
Bahrain,2023,BHR,29.580
Bangladesh,2022,BGD,7.572
Barbados,2023,BRB,
Belarus,2019,BLR,28.300
Belgium,2022,BEL,39.385
Belize,2021,BLZ,4.450
Benin,2022,BEN,4.792
Bermuda,2016,BMU,31.110
Bhutan,2017,BTN,10.200
Bolivia,2023,BOL,17.877
Bosnia and Herzegovina,2023,BIH,11.276
Botswana,2023,BWA,9.646
Brazil,2018,BRA,16.540
British Virgin Islands,2023,VGB,
Brunei Darussalam,2022,BRN,17.575
Bulgaria,2022,BGR,26.398
Burkina Faso,2023,BFA,2.291
Burundi,2017,BDI,0.910
Cabo Verde,2015,CPV,6.930
Cambodia,2021,KHM,4.562
Cameroon,2018,CMR,6.422
Canada,2023,CAN,32.888
Cayman Islands,2015,CYM,29.860
Central African Republic,2019,CAF,1.812
Chad,2019,TCD,1.757
Channel Islands,2023,CHI,
Chile,2023,CHL,21.545
China,2020,CHN,7.680
Colombia,2023,COL,16.473
Comoros,2022,COM,14.056
"Congo, Dem. Rep.",2018,COD,7.414
"Congo, Rep.",2015,COG,7.823
Costa Rica,2020,CRI,21.610
Cote d'Ivoire,2022,CIV,4.765
Croatia,2022,HRV,19.044
Cuba,2019,CUB,15.329
Curacao,2020,CUW,30.170
Cyprus,2022,CYP,33.165
Czechia,2022,CZE,20.973
Denmark,2022,DNK,32.725
Djibouti,2017,DJI,7.064
Dominica,2021,DMA,6.838
Dominican Republic,2023,DOM,18.714
Ecuador,2022,ECU,12.130
"Egypt, Arab Rep.",2021,EGY,0.000
El Salvador,2023,SLV,7.270
Equatorial Guinea,2023,GNQ,
Eritrea,2023,ERI,
Estonia,2022,EST,32.660
Eswatini,2023,SWZ,18.251
Ethiopia,2021,ETH,6.289
Faroe Islands,2023,FRO,
Fiji,2021,FJI,10.020
Finland,2022,FIN,28.798
France,2023,FRA,24.355
French Polynesia,2023,PYF,
Gabon,2023,GAB,
"Gambia, The",2023,GMB,9.049
Georgia,2023,GEO,34.539
Germany,2022,DEU,29.206
Ghana,2022,GHA,6.230
Gibraltar,2023,GIB,
Greece,2022,GRC,28.930
Greenland,2023,GRL,
Grenada,2020,GRD,6.118
Guam,2023,GUM,
Guatemala,2023,GTM,4.162
Guinea,2019,GIN,22.704
Guinea-Bissau,2022,GNB,2.704
Guyana,2019,GUY,4.469
Haiti,2017,HTI,4.531
Honduras,2019,HND,9.630
"Hong Kong SAR, China",2023,HKG,
Hungary,2022,HUN,26.128
Iceland,2022,ISL,34.230
India,2023,IND,13.230
Indonesia,2023,IDN,9.327
"Iran, Islamic Rep.",2022,IRN,18.250
Iraq,2021,IRQ,10.939
Ireland,2022,IRL,37.272
Isle of Man,2023,IMN,
Israel,2022,ISR,38.054
Italy,2022,ITA,16.490
Jamaica,2022,JAM,10.950
Japan,2020,JPN,25.540
Jordan,2017,JOR,20.927
Kazakhstan,2019,KAZ,37.675
Kenya,2022,KEN,6.093
Kiribati,2020,KIR,1.990
"Korea, Dem. People's Rep.",2022,PRK,34.536
"Korea, Rep.",2023,KOR,35.637
Kosovo,2023,XKX,
Kuwait,2018,KWT,11.120
Kyrgyz Republic,2018,KGZ,24.265
Lao PDR,2022,LAO,5.194
Latvia,2022,LVA,31.950
Lebanon,2019,LBN,22.142
Lesotho,2019,LSO,5.611
Liberia,2019,LBR,5.064
Libya,2023,LBY,
Liechtenstein,2023,LIE,
Lithuania,2022,LTU,41.415
Luxembourg,2022,LUX,42.331
"Macao SAR, China",2023,MAC,
Madagascar,2021,MDG,2.927
Malawi,2020,MWI,1.321
Malaysia,2022,MYS,14.560
Maldives,2019,MDV,10.957
Mali,2022,MLI,3.815
Malta,2022,MLT,22.617
Marshall Islands,2021,MHL,4.189
Mauritania,2019,MRT,2.922
Mauritius,2021,MUS,0.000
Mexico,2020,MEX,17.130
"Micronesia, Fed. Sts.",2023,FSM,
Moldova,2023,MDA,20.964
Monaco,2016,MCO,44.176
Mongolia,2023,MNG,31.710
Montenegro,2022,MNE,61.091
Morocco,2023,MAR,
Mozambique,2022,MOZ,3.038
Myanmar,2020,MMR,12.356
Namibia,2016,NAM,9.276
Nauru,2021,NRU,1.568
Nepal,2017,NPL,5.819
Netherlands,2022,NLD,36.628
New Caledonia,2022,NCL,19.574
New Zealand,2020,NZL,32.280
Nicaragua,2021,NIC,20.294
Niger,2022,NER,1.145
Nigeria,2022,NGA,3.477
North Macedonia,2023,MKD,21.040
Northern Mariana Islands,2023,MNP,
Norway,2022,NOR,31.173
Oman,2022,OMN,19.110
Pakistan,2021,PAK,8.625
Palau,2020,PLW,14.693
Panama,2023,PAN,16.128
Papua New Guinea,2022,PNG,3.140
Paraguay,2020,PRY,14.190
Peru,2023,PER,
Philippines,2022,PHL,18.076
Poland,2022,POL,28.645
Portugal,2023,PRT,23.958
Puerto Rico,2017,PRI,7.590
Qatar,2022,QAT,30.390
Romania,2022,ROU,15.283
Russian Federation,2021,RUS,41.220
Rwanda,2023,RWA,5.149
Samoa,2022,WSM,16.484
San Marino,2022,SMR,18.390
Sao Tome and Principe,2019,STP,4.848
Saudi Arabia,2023,SAU,30.889
Senegal,2022,SEN,4.904
Serbia,2023,SRB,18.669
Seychelles,2023,SYC,
Sierra Leone,2019,SLE,1.958
Singapore,2022,SGP,36.190
Sint Maarten (Dutch part),2023,SXM,
Slovak Republic,2022,SVK,25.838
Slovenia,2022,SVN,26.089
Solomon Islands,2023,SLB,
Somalia,2022,SOM,4.270
South Africa,2023,ZAF,12.200
South Sudan,2023,SSD,
Spain,2022,ESP,24.707
Sri Lanka,2022,LKA,0.912
St. Kitts and Nevis,2023,KNA,
St. Lucia,2023,LCA,
St. Martin (French part),2023,MAF,
St. Vincent and the Grenadines,2023,VCT,
Sudan,2022,SDN,9.347
Suriname,2018,SUR,4.951
Sweden,2022,SWE,33.694
Switzerland,2023,CHE,41.265
Syrian Arab Republic,2023,SYR,
Tajikistan,2017,TJK,12.010
Tanzania,2022,TZA,2.320
Thailand,2022,THA,17.350
Timor-Leste,2022,TLS,1.265
Togo,2022,TGO,5.884
Tonga,2021,TON,5.459
Trinidad and Tobago,2022,TTO,10.140
Tunisia,2022,TUN,12.803
Turkiye,2022,TUR,20.942
Turkmenistan,2019,TKM,13.839
Turks and Caicos Islands,2019,TCA,11.749
Tuvalu,2022,TUV,6.051
Uganda,2021,UGA,4.435
Ukraine,2023,UKR,
United Arab Emirates,2022,ARE,51.070
United Kingdom,2023,GBR,37.130
United States,2023,USA,38.568
Uruguay,2022,URY,22.010
Uzbekistan,2022,UZB,16.850
Vanuatu,2020,VUT,2.581
"Venezuela, RB",2017,VEN,22.257
Vietnam,2023,VNM,11.221
Virgin Islands (U.S.),2023,VIR,
West Bank and Gaza,2022,PSE,22.750
"Yemen, Rep.",2023,YEM,
Zambia,2022,ZMB,2.712
Zimbabwe,2022,ZWE,0.914